Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100u,CP_Elec_6.3x7.7,61.595,78.265,270,top
C1,100u,CP_Elec_6.3x7.7,61.595,38.895,270,top
C2,100n,C_0603_1608Metric,47.625,81.28,0,top
C2,100n,C_0603_1608Metric,47.625,41.91,0,top
C3,10n,C_0603_1608Metric,55.88,34.29,180,top
C3,10n,C_0603_1608Metric,55.88,73.66,180,top
C4,10n,C_0603_1608Metric,55.88,75.565,180,top
C4,10n,C_0603_1608Metric,55.88,36.195,180,top
C5,10n,C_0603_1608Metric,55.88,38.1,0,top
C5,10n,C_0603_1608Metric,55.88,77.47,0,top
C6,10u,C_0603_1608Metric,46.99,33.655,180,top
C6,10u,C_0603_1608Metric,46.99,73.025,180,top
C7,10n,C_0603_1608Metric,55.88,40.005,180,top
C7,10n,C_0603_1608Metric,55.88,79.375,180,top
C8,100n,C_0603_1608Metric,47.752,23.876,90,top
C8,100n,C_0603_1608Metric,47.752,63.246,90,top
R1,1k,R_0603_1608Metric,52.07,73.66,180,top
R1,1k,R_0603_1608Metric,52.07,34.29,180,top
R2,1k,R_0603_1608Metric,52.07,36.195,180,top
R2,1k,R_0603_1608Metric,52.07,75.565,180,top
R3,51k,R_0603_1608Metric,46.99,27.94,0,top
R3,51k,R_0603_1608Metric,46.99,67.31,0,top
R4,51k,R_0603_1608Metric,46.99,69.215,180,top
R4,51k,R_0603_1608Metric,46.99,29.845,180,top
R5,10k,R_0603_1608Metric,46.99,31.75,0,top
R5,10k,R_0603_1608Metric,46.99,71.12,0,top
R6,51k,R_0603_1608Metric,52.07,40.005,180,top
R6,51k,R_0603_1608Metric,52.07,79.375,180,top
R7,10k,R_0603_1608Metric,52.07,77.47,180,top
R7,10k,R_0603_1608Metric,52.07,38.1,180,top
R8,510,R_1206_3216Metric,45.72,63.878,90,top
R8,510,R_1206_3216Metric,45.72,24.508,90,top
U1,AD8532,SOP-8_3.9x4.9mm_P1.27mm,45.72,77.47,270,top
U1,AD8532,SOP-8_3.9x4.9mm_P1.27mm,45.72,38.1,270,top
